id,missionType,missionTypePar1,missionTypePar2,missionName,missionDescription,determinePoint,rewardType,rewardValue,showPar,condition1,condition1par1,condition1par2,condition1par3,condition2,condition2par1,condition2par2,condition2par3,condition3,condition3par1,condition3par2,condition3par3,condition4,condition4par1,condition4par2,condition4par3,condition5,condition5par1,condition5par2,condition5par3
string,int ,string,string,string,string,string,int,int,int,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
2,1,10,0,每日任务,当日完成任意5场比赛,1,1,10000,5,1,3,=,1,3,0,0,0,1,1,>=,5,0,0,0,0,0,0,0,0
3,1,10,0,每日任务,当日在比赛中获得5000金币,1,1,15000,5000,2,8,0,0,1,1,>=,5000,0,0,0,0,0,0,0,0,0,0,0,0
4,1,-1,0,每日任务,当日消耗10000金币,2,1,10000,10000,2,15,0,0,1,1,>=,10000,0,0,0,0,0,0,0,0,0,0,0,0
5,1,10,0,每日任务,当日消耗100钻石,3,1,15000,100,2,16,0,0,1,1,>=,100,0,0,0,0,0,0,0,0,0,0,0,0
6,1,10,0,每日任务,当日将任意角色升级5次,6,1,10000,5,3,0,0,0,1,1,>=,5,0,0,0,0,0,0,0,0,0,0,0,0
7,1,10,0,每日任务,当日将任意赛车升级5次,7,1,15000,5,3,0,0,0,1,1,>=,5,0,0,0,0,0,0,0,0,0,0,0,0
8,1,10,0,每日任务,当日消耗200点体力,5,1,10000,200,2,17,0,0,1,1,>=,200,0,0,0,0,0,0,0,0,0,0,0,0
11,1,10,0,每日任务,当日进行3次极限赛,1,1,15000,3,1,4,=,2#6,3,0,0,1,1,1,>=,3,0,0,0,0,0,0,0,0
12,1,10,0,每日任务,当日进行3次破坏赛,1,1,10000,3,1,4,=,3#7,3,0,0,1,1,1,>=,3,0,0,0,0,0,0,0,0
13,1,10,0,每日任务,当日进行3次竞速赛,1,1,15000,3,1,4,=,1#5,3,0,0,1,1,1,>=,3,0,0,0,0,0,0,0,0
14,1,10,0,每日任务,当日参与3次挑战赛,1,1,10000,3,1,4,=,4#8,3,0,0,1,1,1,>=,3,0,0,0,0,0,0,0,0
15,1,-1,0,每日任务,完成当日所有日常任务,8,4,1,1,3,0,0,0,1,1,>=,1,0,0,0,0,0,0,0,0,0,0,0,0
101,2,102,0,成就任务,通关第一章,1,2,10,1,1,18,=,1006,3,0,0,1,1,1,>=,1,0,0,0,0,0,0,0,0
102,2,0,0,成就任务,通关第二章,1,2,10,1,1,18,=,1018,3,0,0,1,1,1,>=,1,0,0,0,0,0,0,0,0
201,2,202,0,成就任务,在梦想森林极限赛中行驶500公里,1,2,10,500,1,4,=,2,5,0,0,1,1,1,>=,500,1,18,=,201,0,0,0,0
202,2,0,0,成就任务,在梦想森林极限赛中行驶5000公里,1,2,10,5000,1,4,=,2,5,0,0,1,1,1,>=,5000,1,18,=,201,0,0,0,0
301,2,302,0,成就任务,在梦想森林破坏赛中获得10000分,1,2,10,10000,1,4,=,3,0,0,0,0,1,1,>=,10000,1,18,=,301,0,0,0,0
302,2,0,0,成就任务,在梦想森林破坏赛中获得50000分,1,2,10,50000,1,4,=,3,0,0,0,0,1,1,>=,50000,1,18,=,301,0,0,0,0
401,2,402,0,成就任务,40秒完成比赛,1,2,10,1,1,6,0,0,1,1,<=,40,0,0,0,0,0,0,0,0,0,0,0,0
402,2,0,0,成就任务,35秒完成比赛,1,2,10,1,1,6,0,0,1,1,<=,35,0,0,0,0,0,0,0,0,0,0,0,0
501,2,0,0,成就任务,获得宠物软绵绵,1,2,10,1,1,20,=,1,1,1,>=,1,0,0,0,0,0,0,0,0,0,0,0,0
502,2,0,0,成就任务,获得宠物军火猪,1,2,10,1,1,20,=,3,1,1,>=,1,0,0,0,0,0,0,0,0,0,0,0,0
